1. Time	Die Zeit	Die Zeiten
1986. Criminal	Der Verbrecher	Die Verbrecher
1987. Globe	Der Globus	Die Globen
1988. Bruise	Der Bluterguss	Die Blutergüsse
1989. Knob	Der Knopf	Die Knöpfe
1990. Killing	Der Mord	Die Morde
1991. Sweetheart	Die Liebste	Die Liebsten
1992. Opera	Die Oper	Die Opern
1993. Frost	Der Frost	(no plural form)
1994. Nipple	Die Brustwarze	Die Brustwarzen
1995. Reverend	Der Pfarrer	Die Pfarrer
1996. Haze	Der Dunst	(usually uncountable)
1997. Flood	Die Überschwemmung	Die Überschwemmungen
1998. Carol	Das Lied	Die Lieder
1999. Weakness	Die Schwäche	Die Schwächen
2000. Cooking	Das Kochen	(usually uncountable)
